 vacas_prenadas_calcular2025-01-11 10:25:43,347 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,565 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,567 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,569 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,571 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,573 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,574 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,576 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,577 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,579 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,581 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,583 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,585 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,588 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:03,590 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
